id,Gender,Age,purpose_of_travel,Type of Travel,Type Of Booking,Hotel wifi service,Departure/Arrival  convenience,Ease of Online booking,Hotel location,Food and drink,Stay comfort,Common Room entertainment,Checkin/Checkout service,Other service,Cleanliness,satisfaction
106922,Male,64,tourism,Personal Travel,Individual/Couple,4,5,4,2,2,2,2,4,4,2,satisfied
32564,Female,50,academic,Group Travel,Individual/Couple,4,0,4,4,4,4,4,4,4,4,neutral or dissatisfied
92242,Female,41,academic,Group Travel,Group bookings,2,1,1,2,3,4,3,4,5,3,neutral or dissatisfied
73302,Male,26,business,Group Travel,Group bookings,1,1,1,1,4,4,4,4,4,4,satisfied
42267,Female,25,personal,Group Travel,Individual/Couple,4,4,4,3,3,3,3,3,3,3,neutral or dissatisfied
121358,Female,44,academic,Group Travel,Group bookings,3,3,3,4,5,5,5,2,4,5,neutral or dissatisfied
65655,Female,21,tourism,Group Travel,Group bookings,4,0,4,4,1,1,1,4,5,1,satisfied
88062,Male,47,business,Group Travel,Group bookings,2,2,2,2,3,5,4,5,4,4,satisfied
91330,Male,31,tourism,Group Travel,Not defined,4,4,4,4,4,4,4,4,2,4,satisfied
22031,Female,57,tourism,Personal Travel,Not defined,3,5,3,2,3,5,5,4,5,5,neutral or dissatisfied
27921,Male,44,business,Personal Travel,Individual/Couple,3,5,3,4,5,2,5,3,5,5,neutral or dissatisfied
51947,Male,45,academic,Group Travel,Group bookings,3,3,3,3,1,3,4,3,4,1,satisfied
40017,Male,13,aviation,Group Travel,Individual/Couple,2,2,2,3,3,3,3,1,4,3,neutral or dissatisfied
76392,Male,60,tourism,Personal Travel,Individual/Couple,0,5,0,3,4,3,4,4,5,4,satisfied
118486,Female,41,academic,Group Travel,Group bookings,5,5,5,3,2,2,2,4,4,2,satisfied
6012,Male,30,tourism,Group Travel,Group bookings,4,1,1,1,4,4,4,4,2,4,neutral or dissatisfied
30183,Female,51,tourism,Group Travel,Not defined,5,4,4,4,4,1,5,1,5,1,satisfied
41652,Female,61,tourism,Group Travel,Individual/Couple,2,5,5,5,5,4,3,3,3,4,satisfied
15138,Female,32,academic,Group Travel,Individual/Couple,4,1,1,1,4,4,4,5,2,4,satisfied
123589,Female,39,tourism,Personal Travel,Individual/Couple,4,5,4,5,5,5,5,3,1,5,neutral or dissatisfied
114534,Male,19,tourism,Personal Travel,Group bookings,3,1,3,2,3,3,3,1,3,3,neutral or dissatisfied
93076,Female,15,academic,Personal Travel,Not defined,1,5,1,3,5,5,5,3,4,5,neutral or dissatisfied
96963,Female,42,personal,Group Travel,Group bookings,3,3,3,3,3,4,3,3,4,3,satisfied
85494,Female,16,business,Personal Travel,Individual/Couple,2,5,2,1,3,4,3,4,4,3,neutral or dissatisfied
72989,Male,19,aviation,Group Travel,Group bookings,5,5,5,5,4,4,4,5,4,4,satisfied
42357,Female,29,academic,Personal Travel,Individual/Couple,2,5,2,2,5,1,5,3,5,5,neutral or dissatisfied
23040,Female,27,aviation,Group Travel,Not defined,3,3,3,3,3,3,3,3,3,3,neutral or dissatisfied
65420,Male,22,tourism,Group Travel,Group bookings,5,0,5,4,5,5,5,3,1,5,satisfied
65045,Female,15,tourism,Personal Travel,Individual/Couple,3,4,3,3,4,4,4,2,1,4,neutral or dissatisfied
37373,Male,11,business,Group Travel,Individual/Couple,1,1,1,3,1,1,1,2,1,1,neutral or dissatisfied
44405,Female,34,academic,Personal Travel,Individual/Couple,4,3,4,3,5,5,5,1,4,5,neutral or dissatisfied
16653,Female,26,tourism,Group Travel,Individual/Couple,2,0,2,4,1,1,1,1,3,1,neutral or dissatisfied
71655,Female,26,aviation,Personal Travel,Individual/Couple,3,5,2,2,4,4,4,3,5,4,neutral or dissatisfied
77591,Male,53,aviation,Group Travel,Group bookings,5,5,5,5,5,5,4,4,4,3,satisfied
4585,Male,36,tourism,Group Travel,Group bookings,4,2,2,2,1,4,4,4,4,1,neutral or dissatisfied
108347,Male,32,tourism,Group Travel,Group bookings,1,5,4,5,1,1,1,4,3,1,neutral or dissatisfied
23400,Male,20,business,Personal Travel,Individual/Couple,2,3,2,3,5,5,5,2,4,5,neutral or dissatisfied
31010,Female,35,business,Group Travel,Group bookings,2,2,2,2,1,1,4,5,4,4,satisfied
57513,Male,15,aviation,Personal Travel,Individual/Couple,2,4,2,1,1,1,1,4,4,1,neutral or dissatisfied
20979,Male,52,aviation,Personal Travel,Individual/Couple,2,5,2,3,3,3,3,2,2,3,neutral or dissatisfied
95841,Male,45,business,Group Travel,Group bookings,1,1,1,1,5,4,2,5,2,5,satisfied
114684,Female,24,tourism,Group Travel,Individual/Couple,4,4,4,3,3,5,3,4,4,3,neutral or dissatisfied
111667,Female,46,business,Group Travel,Group bookings,4,3,3,3,4,4,4,4,4,4,neutral or dissatisfied
20101,Male,26,tourism,Group Travel,Individual/Couple,3,0,3,3,1,1,1,3,3,1,neutral or dissatisfied
63212,Male,28,tourism,Group Travel,Individual/Couple,4,1,1,1,4,4,4,3,2,4,neutral or dissatisfied
8256,Male,11,aviation,Personal Travel,Individual/Couple,1,5,1,3,3,3,3,5,5,3,neutral or dissatisfied
56161,Male,45,aviation,Group Travel,Group bookings,5,5,5,5,2,5,4,3,4,5,satisfied
121196,Male,62,academic,Personal Travel,Individual/Couple,4,5,4,3,4,1,5,1,4,1,neutral or dissatisfied
23788,Female,34,business,Group Travel,Group bookings,3,3,3,3,4,1,4,5,4,3,satisfied
129579,Male,51,business,Group Travel,Group bookings,2,2,2,2,4,5,4,3,4,5,satisfied
127516,Female,58,academic,Group Travel,Not defined,1,4,4,4,2,4,2,2,2,4,neutral or dissatisfied
18012,Male,22,personal,Personal Travel,Individual/Couple,3,5,3,2,3,3,3,5,5,3,neutral or dissatisfied
45561,Male,8,business,Group Travel,Individual/Couple,4,4,4,4,4,4,4,2,1,4,satisfied
5228,Male,26,tourism,Group Travel,Group bookings,4,4,4,3,2,2,2,4,5,2,satisfied
18311,Female,22,business,Personal Travel,Individual/Couple,4,0,4,3,3,1,3,4,5,3,neutral or dissatisfied
59891,Female,21,tourism,Group Travel,Group bookings,3,1,1,1,3,3,3,1,3,3,neutral or dissatisfied
60651,Male,31,academic,Group Travel,Group bookings,3,2,4,2,3,3,3,3,4,3,neutral or dissatisfied
51013,Female,44,aviation,Personal Travel,Individual/Couple,2,0,2,2,2,5,1,2,1,5,neutral or dissatisfied
91746,Male,27,academic,Group Travel,Group bookings,2,2,2,2,5,5,5,3,5,5,satisfied
4233,Female,47,aviation,Group Travel,Group bookings,3,1,3,3,2,5,5,3,5,5,satisfied
14187,Male,24,tourism,Group Travel,Group bookings,3,3,3,3,3,3,3,2,2,3,neutral or dissatisfied
19669,Male,67,tourism,Group Travel,Group bookings,1,1,1,1,1,3,1,1,1,1,neutral or dissatisfied
31147,Male,32,business,Group Travel,Group bookings,2,2,2,2,4,4,4,3,5,4,satisfied
128842,Female,58,business,Personal Travel,Individual/Couple,4,4,4,3,4,1,3,1,3,1,satisfied
27562,Male,12,tourism,Personal Travel,Individual/Couple,4,5,4,5,1,1,1,5,4,1,neutral or dissatisfied
775,Female,56,aviation,Group Travel,Group bookings,3,1,1,1,5,2,3,3,3,4,neutral or dissatisfied
14070,Female,58,tourism,Personal Travel,Group bookings,3,5,5,1,2,5,1,3,1,3,neutral or dissatisfied
106007,Male,24,aviation,Group Travel,Individual/Couple,3,3,3,3,5,5,5,1,3,5,neutral or dissatisfied
116004,Male,68,personal,Personal Travel,Individual/Couple,3,4,3,3,5,5,5,4,4,5,neutral or dissatisfied
68886,Male,46,personal,Group Travel,Group bookings,1,1,1,1,3,5,5,5,5,3,satisfied
72413,Male,43,tourism,Group Travel,Group bookings,2,2,2,2,2,4,3,3,3,4,satisfied
73604,Female,55,business,Group Travel,Group bookings,0,4,0,4,4,5,4,4,4,3,satisfied
48415,Female,54,business,Personal Travel,Group bookings,4,5,5,2,2,4,3,3,3,4,neutral or dissatisfied
105708,Female,42,personal,Group Travel,Group bookings,5,5,5,5,4,5,2,5,2,3,satisfied
65579,Female,47,academic,Group Travel,Group bookings,1,3,3,3,3,4,1,1,1,4,neutral or dissatisfied
73058,Female,29,aviation,Group Travel,Group bookings,1,1,1,1,5,5,5,4,4,5,neutral or dissatisfied
65585,Female,36,personal,Group Travel,Individual/Couple,2,4,4,4,2,2,2,1,1,2,neutral or dissatisfied
8346,Female,50,aviation,Group Travel,Group bookings,4,4,4,4,2,5,5,4,5,3,satisfied
79678,Female,31,aviation,Personal Travel,Individual/Couple,4,2,4,4,1,1,1,4,4,1,neutral or dissatisfied
112483,Male,13,tourism,Personal Travel,Individual/Couple,1,4,1,4,4,4,4,4,4,4,neutral or dissatisfied
31698,Male,24,academic,Group Travel,Individual/Couple,3,4,4,4,5,5,5,2,4,5,neutral or dissatisfied
74030,Female,60,aviation,Group Travel,Group bookings,2,2,2,2,4,1,3,5,3,1,satisfied
124931,Female,42,tourism,Personal Travel,Individual/Couple,2,3,2,3,5,4,3,3,3,2,neutral or dissatisfied
73924,Female,57,tourism,Group Travel,Group bookings,2,2,2,2,4,4,4,4,3,4,satisfied
76073,Female,42,tourism,Group Travel,Group bookings,2,2,4,2,2,4,3,4,3,3,satisfied
104623,Male,20,academic,Group Travel,Individual/Couple,0,0,0,5,2,2,2,3,5,2,satisfied
58523,Female,51,tourism,Personal Travel,Individual/Couple,3,5,2,4,3,4,4,4,4,3,neutral or dissatisfied
121929,Male,45,tourism,Group Travel,Group bookings,2,5,2,2,2,5,5,3,5,4,satisfied
30704,Female,26,tourism,Group Travel,Not defined,5,5,5,5,5,5,5,1,3,5,satisfied
58896,Male,26,aviation,Group Travel,Individual/Couple,2,2,2,3,5,5,5,2,4,5,neutral or dissatisfied
26920,Female,24,aviation,Personal Travel,Individual/Couple,2,1,2,3,3,5,3,2,2,3,neutral or dissatisfied
13884,Male,49,academic,Group Travel,Individual/Couple,5,1,1,1,5,5,1,5,4,5,satisfied
87681,Female,17,tourism,Group Travel,Individual/Couple,5,1,4,1,5,4,5,5,3,5,satisfied
81719,Female,39,academic,Group Travel,Group bookings,3,3,3,3,4,5,4,4,4,3,satisfied
85554,Female,49,business,Group Travel,Group bookings,0,1,1,1,3,5,4,4,4,5,satisfied
12645,Female,48,aviation,Personal Travel,Individual/Couple,3,4,4,3,4,4,4,3,4,3,neutral or dissatisfied
101275,Male,52,academic,Group Travel,Group bookings,5,5,5,5,2,5,4,5,4,5,satisfied
95982,Female,25,academic,Group Travel,Group bookings,4,4,4,4,3,3,3,5,4,3,satisfied
74610,Female,16,tourism,Group Travel,Group bookings,3,5,5,5,3,3,3,2,3,3,neutral or dissatisfied
76449,Male,58,tourism,Group Travel,Group bookings,1,1,1,1,2,5,4,5,4,4,satisfied
14030,Male,8,academic,Group Travel,Group bookings,4,3,4,3,3,3,3,4,3,3,neutral or dissatisfied
69692,Male,42,tourism,Group Travel,Group bookings,3,3,5,3,4,4,5,4,3,4,satisfied
47648,Female,52,business,Group Travel,Group bookings,4,1,1,1,2,4,4,2,4,4,neutral or dissatisfied
52168,Female,47,tourism,Group Travel,Individual/Couple,5,3,3,3,2,1,5,3,5,4,satisfied
60251,Female,69,tourism,Personal Travel,Individual/Couple,1,5,1,2,4,4,1,4,1,3,neutral or dissatisfied
35881,Female,47,tourism,Personal Travel,Individual/Couple,2,3,3,3,5,3,4,3,4,4,neutral or dissatisfied
28852,Female,41,tourism,Group Travel,Group bookings,1,1,1,1,3,4,4,5,4,2,satisfied
55341,Female,40,tourism,Personal Travel,Individual/Couple,4,4,4,3,1,1,1,5,5,1,neutral or dissatisfied
84553,Female,56,business,Personal Travel,Individual/Couple,1,4,1,3,3,1,5,1,5,2,neutral or dissatisfied
100249,Male,41,tourism,Group Travel,Group bookings,2,2,2,2,4,4,4,3,4,4,satisfied
2463,Female,40,academic,Group Travel,Individual/Couple,3,4,4,4,3,3,3,4,4,3,neutral or dissatisfied
22924,Male,12,academic,Personal Travel,Group bookings,2,3,2,2,1,1,1,3,2,1,neutral or dissatisfied
25542,Male,59,academic,Personal Travel,Individual/Couple,4,5,3,4,1,1,1,5,4,1,satisfied
115972,Female,21,tourism,Personal Travel,Individual/Couple,1,5,1,1,2,2,2,3,4,2,neutral or dissatisfied
2980,Male,12,tourism,Personal Travel,Individual/Couple,2,4,2,3,2,2,2,2,1,2,neutral or dissatisfied
125097,Male,31,aviation,Group Travel,Individual/Couple,1,5,5,5,1,1,1,4,4,1,neutral or dissatisfied
46701,Female,37,tourism,Personal Travel,Individual/Couple,3,2,3,3,2,2,2,4,3,2,neutral or dissatisfied
108006,Female,38,academic,Personal Travel,Individual/Couple,4,0,5,3,2,2,2,3,5,2,satisfied
19578,Male,45,aviation,Personal Travel,Individual/Couple,2,5,0,1,2,5,2,4,4,2,neutral or dissatisfied
59508,Male,43,academic,Group Travel,Group bookings,3,3,3,3,4,4,4,3,4,5,satisfied
56446,Female,52,academic,Personal Travel,Individual/Couple,1,5,2,2,3,5,3,3,3,3,neutral or dissatisfied
48800,Female,57,tourism,Group Travel,Group bookings,3,4,4,4,5,4,2,4,2,2,neutral or dissatisfied
129592,Female,13,business,Personal Travel,Group bookings,2,3,2,3,1,1,1,5,5,1,neutral or dissatisfied
114039,Female,45,business,Group Travel,Group bookings,5,5,5,5,5,5,5,3,5,4,satisfied
66800,Female,43,business,Group Travel,Group bookings,5,5,5,5,5,4,5,5,5,3,satisfied
106799,Male,53,tourism,Group Travel,Individual/Couple,2,4,2,4,2,2,2,2,3,2,neutral or dissatisfied
47057,Male,23,tourism,Group Travel,Group bookings,4,4,1,4,5,5,5,3,3,5,satisfied
61824,Female,16,personal,Personal Travel,Individual/Couple,2,5,2,2,2,2,2,3,5,2,neutral or dissatisfied
68207,Male,23,business,Group Travel,Individual/Couple,2,2,2,2,2,1,2,3,4,2,neutral or dissatisfied
125512,Male,45,business,Personal Travel,Individual/Couple,2,5,2,4,4,4,4,4,5,4,neutral or dissatisfied
93019,Female,46,academic,Group Travel,Group bookings,2,2,2,2,2,2,5,2,5,3,satisfied
87296,Female,49,academic,Personal Travel,Individual/Couple,2,5,2,2,3,5,1,4,1,3,neutral or dissatisfied
76748,Female,40,academic,Group Travel,Group bookings,4,3,3,3,3,4,3,4,3,3,neutral or dissatisfied
85879,Female,19,business,Group Travel,Group bookings,5,5,5,5,4,4,4,4,4,4,satisfied
63961,Female,48,aviation,Personal Travel,Individual/Couple,4,2,4,3,4,3,1,3,1,1,neutral or dissatisfied
94760,Female,64,aviation,Group Travel,Group bookings,2,4,3,4,5,3,2,4,2,4,neutral or dissatisfied
49608,Female,38,tourism,Group Travel,Individual/Couple,5,3,3,3,5,5,5,1,1,5,satisfied
80520,Male,23,academic,Personal Travel,Individual/Couple,2,1,1,4,3,3,3,2,3,3,neutral or dissatisfied
23328,Female,38,academic,Group Travel,Group bookings,2,2,2,2,1,5,4,4,4,1,satisfied
13560,Male,41,aviation,Personal Travel,Individual/Couple,1,4,1,2,2,1,2,4,5,2,neutral or dissatisfied
119121,Male,29,business,Personal Travel,Individual/Couple,1,4,1,4,1,1,1,4,3,1,neutral or dissatisfied
42917,Male,47,tourism,Group Travel,Not defined,5,1,2,1,4,4,4,4,3,4,satisfied
52954,Male,50,tourism,Personal Travel,Not defined,2,3,2,5,4,4,4,3,1,4,neutral or dissatisfied
83112,Female,18,aviation,Personal Travel,Individual/Couple,2,5,2,3,3,3,3,3,5,3,neutral or dissatisfied
88574,Female,20,tourism,Personal Travel,Individual/Couple,2,0,2,3,5,1,5,3,1,5,neutral or dissatisfied
111570,Female,41,academic,Group Travel,Group bookings,2,2,2,2,5,5,4,3,4,4,satisfied
28662,Female,12,tourism,Personal Travel,Individual/Couple,2,4,2,3,1,1,1,4,4,1,neutral or dissatisfied
27177,Female,36,academic,Personal Travel,Individual/Couple,2,3,2,3,2,2,4,2,3,2,neutral or dissatisfied
129585,Male,49,aviation,Group Travel,Group bookings,3,4,3,3,4,5,4,5,4,3,satisfied
35759,Female,55,business,Personal Travel,Individual/Couple,2,2,2,4,2,4,5,3,5,2,neutral or dissatisfied
49475,Female,43,tourism,Group Travel,Group bookings,3,3,3,3,2,3,2,1,2,2,neutral or dissatisfied
78904,Female,49,aviation,Group Travel,Group bookings,2,2,2,2,3,3,3,4,4,3,neutral or dissatisfied
29619,Female,35,tourism,Group Travel,Individual/Couple,1,1,1,1,3,3,3,3,2,3,neutral or dissatisfied
77512,Male,45,personal,Group Travel,Group bookings,1,1,3,1,3,4,5,4,5,4,satisfied
31631,Female,28,personal,Group Travel,Group bookings,5,5,5,5,5,5,5,1,2,5,satisfied
38913,Male,60,personal,Group Travel,Group bookings,4,4,4,4,1,5,4,1,4,2,satisfied
35366,Male,35,aviation,Group Travel,Group bookings,2,4,2,4,1,2,2,4,2,3,neutral or dissatisfied
111817,Female,38,tourism,Group Travel,Group bookings,3,3,3,5,4,4,4,5,5,4,neutral or dissatisfied
12259,Male,48,tourism,Group Travel,Group bookings,4,5,4,4,4,3,4,2,4,1,satisfied
19790,Female,65,aviation,Personal Travel,Individual/Couple,2,4,3,4,2,4,3,4,3,3,neutral or dissatisfied
33260,Male,30,business,Personal Travel,Not defined,3,5,3,2,1,1,1,5,5,1,neutral or dissatisfied
107079,Female,51,tourism,Personal Travel,Individual/Couple,2,4,5,1,2,5,3,1,3,1,neutral or dissatisfied
15174,Male,23,tourism,Group Travel,Individual/Couple,5,0,5,2,4,4,4,3,2,4,satisfied
23620,Female,37,tourism,Group Travel,Individual/Couple,3,4,4,4,3,3,3,3,3,3,neutral or dissatisfied
18128,Male,23,academic,Group Travel,Group bookings,5,5,5,5,5,3,5,3,3,5,satisfied
105291,Male,32,aviation,Group Travel,Group bookings,4,4,4,4,4,4,4,3,3,4,neutral or dissatisfied
56451,Male,67,personal,Personal Travel,Individual/Couple,3,3,3,4,1,1,1,1,5,1,neutral or dissatisfied
102068,Male,65,tourism,Personal Travel,Group bookings,1,4,1,1,5,4,4,5,4,3,neutral or dissatisfied
57995,Female,48,business,Group Travel,Group bookings,1,1,1,1,3,5,5,4,5,5,satisfied
146,Male,60,business,Group Travel,Group bookings,4,4,4,4,2,5,4,3,4,3,satisfied
18770,Female,31,tourism,Group Travel,Group bookings,3,1,1,1,3,3,3,4,4,3,neutral or dissatisfied
42774,Male,22,aviation,Group Travel,Not defined,4,1,5,5,4,4,4,3,4,4,satisfied
13776,Male,27,academic,Group Travel,Individual/Couple,2,2,2,5,5,5,5,1,4,5,neutral or dissatisfied
103702,Female,19,business,Personal Travel,Individual/Couple,2,2,2,4,1,1,1,4,3,1,neutral or dissatisfied
69826,Female,26,business,Group Travel,Individual/Couple,3,3,3,4,4,4,4,2,4,4,neutral or dissatisfied
57906,Male,72,academic,Group Travel,Individual/Couple,4,3,3,3,4,4,4,1,3,4,neutral or dissatisfied
31358,Female,34,tourism,Group Travel,Group bookings,5,5,5,5,1,5,5,5,5,5,satisfied
92805,Female,45,academic,Group Travel,Group bookings,2,2,2,2,4,4,4,4,4,3,satisfied
104375,Male,51,academic,Group Travel,Group bookings,2,4,4,4,3,4,2,4,2,1,neutral or dissatisfied
109896,Female,26,academic,Group Travel,Individual/Couple,2,2,2,3,4,3,4,1,4,4,neutral or dissatisfied
102955,Female,12,academic,Personal Travel,Individual/Couple,3,4,3,3,1,1,1,4,4,1,neutral or dissatisfied
44736,Female,72,personal,Group Travel,Not defined,2,5,3,5,2,4,3,4,3,3,neutral or dissatisfied
